"","Cont-1.tabular","Cont-2.tabular","Cont-3.tabular","PER-2h-A.tabular","PER-2h-B.tabular","PER-2h-C.tabular","PER-6h-A.tabular","PER-6h-B.tabular","PER-6h-C.tabular","PER-24h-A.tabular","PER-24h-B.tabular","PER-24h-C.tabular","cluster"
"dv.142147",-0.563994664657282,0.692000676920284,0.069108010425825,0.157680957565181,-0.563994664657282,0.0894832815635898,0.299035943300774,0.218688586886628,-0.563994664657282,-0.563994664657282,0.673925420966015,0.0560557810008291,6
"dv.142216",-0.485268279731126,0.60802019122819,-0.355531413613074,-0.365532582273499,0.245874412795582,-0.782026211967523,-0.538053480199749,0.797044299468006,-0.340206634878287,0.681792007847146,-0.699109718460355,1.23299740978469,6
"dv.142289",-0.136739776782067,-0.136739776782067,-0.136739776782067,-0.136739776782067,-0.136739776782067,0.327296350892912,-0.136739776782067,0.420050971269645,-0.136739776782067,-0.136739776782067,-0.136739776782067,0.483310668876044,6
"dv.142460",-0.263649984896645,-0.263649984896645,0.624788656117204,0.249283012108111,-0.263649984896645,-0.263649984896645,-0.263649984896645,0.293140763155067,0.321937002134667,-0.263649984896645,-0.263649984896645,0.356400460761466,6
"dv.142476",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.142751",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.143212",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.143236",-0.0527585562569257,-0.0527585562569257,0.580344118826181,-0.0527585562569257,-0.0527585562569257,-0.0527585562569257,-0.0527585562569257,-0.0527585562569257,-0.0527585562569257,-0.0527585562569257,-0.0527585562569257,-0.0527585562569257,6
"dv.143254",-0.0842079085835108,-0.0842079085835108,-0.0842079085835108,0.926286994418621,-0.0842079085835108,-0.0842079085835108,-0.0842079085835108,-0.0842079085835108,-0.0842079085835108,-0.0842079085835108,-0.0842079085835108,-0.0842079085835108,6
"dv.143620",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.14428",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.145069",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.14507",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.145284",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.145376",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.145689",-0.409771370303943,-0.409771370303943,-0.409771370303943,-0.409771370303943,1.12554831602867,-0.409771370303943,-0.409771370303943,1.53570775600733,-0.409771370303943,-0.409771370303943,1.02668626069948,-0.409771370303943,6
"dv.146064",0.548575186223915,-0.243268314674428,-0.243268314674428,-0.243268314674428,0.407978816785054,0.410209631546444,-0.243268314674428,-0.243268314674428,0.579382882840009,-0.243268314674428,-0.243268314674428,-0.243268314674428,6
"dv.147181",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.14754",-0.0955029726739887,-0.0955029726739887,0.537599702409118,0.417430024330767,-0.0955029726739887,-0.0955029726739887,-0.0955029726739887,-0.0955029726739887,-0.0955029726739887,-0.0955029726739887,-0.0955029726739887,-0.0955029726739887,6
"dv.14806",0.80460185518479,0.555855729170508,0.412352444488246,0.259269522451387,0.207032481386859,-0.562311932544731,0.0659411065472835,0.304163806692024,-1.10759752699275,0.661385578991824,-0.536032071566954,-1.06466099380849,6
"dv.148124",-0.0463992290043094,-0.0463992290043094,-0.0463992290043094,-0.0463992290043094,-0.0463992290043094,-0.0463992290043094,-0.0463992290043094,0.510391519047403,-0.0463992290043094,-0.0463992290043094,-0.0463992290043094,-0.0463992290043094,6
"dv.14945",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.149549",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.150148",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.150153",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.150334",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.150452",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.150810",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.15084",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.150900",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.151008",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.151114",0.284566184106575,0.461304829002752,0.801171548993667,0.234113202817002,-0.278819794187752,-0.278819794187752,-0.278819794187752,-0.278819794187752,-0.278819794187752,-0.278819794187752,0.170582794394269,-0.278819794187752,6
"dv.151214",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.151294",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.153188",-0.0980700994758186,-0.0980700994758186,-0.0980700994758186,-0.0980700994758186,-0.0980700994758186,-0.0980700994758186,-0.0980700994758186,0.458720648575893,-0.0980700994758186,-0.0980700994758186,-0.0980700994758186,0.521980346182292,6
"dv.153554",0,0,0,0,0,0,0,0,0,0,0,0,6
